Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households,County-equivalent_link
777,Morgan,Utah,"$26,274","$80,337","$87,922","9,692","2,860","https://en.wikipedia.org/wiki/Morgan_County,_Utah"
778,Scott,Kansas,"$26,274","$50,605","$55,938","4,930","2,121","https://en.wikipedia.org/wiki/Scott_County,_Kansas"
779,Columbia,Oregon,"$26,271","$54,968","$63,435","49,333","19,069","https://en.wikipedia.org/wiki/Columbia_County,_Oregon"
780,La Crosse,Wisconsin,"$26,271","$51,339","$69,606","115,420","45,949","https://en.wikipedia.org/wiki/La_Crosse_County,_Wisconsin"
781,Berkeley,West Virginia,"$26,264","$53,515","$61,575","105,812","40,447","https://en.wikipedia.org/wiki/Berkeley_County,_West_Virginia"
782,Carson City,Nevada,"$26,264","$51,957","$63,883","54,821","21,186","https://en.wikipedia.org/wiki/Carson_City,_Nevada"
783,Delaware County,Iowa,"$26,261","$54,076","$68,096","17,665","7,129","https://en.wikipedia.org/wiki/Delaware_County,_Iowa"
784,Beaver,Pennsylvania,"$26,258","$49,217","$62,792","170,382","70,867","https://en.wikipedia.org/wiki/Beaver_County,_Pennsylvania"
785,Dubuque,Iowa,"$26,254","$51,475","$66,046","94,411","37,366","https://en.wikipedia.org/wiki/Dubuque_County,_Iowa"
786,Vilas,Wisconsin,"$26,252","$40,833","$50,051","21,401","10,636","https://en.wikipedia.org/wiki/Vilas_County,_Wisconsin"
787,Franklin,Kentucky,"$26,243","$46,071","$58,556","49,390","21,058","https://en.wikipedia.org/wiki/Franklin_County,_Kentucky"
788,St. Clair,Illinois,"$26,234","$50,578","$63,373","268,939","102,885","https://en.wikipedia.org/wiki/St._Clair_County,_Illinois"
789,Gove,Kansas,"$26,233","$44,866","$51,939","2,835","1,201","https://en.wikipedia.org/wiki/Gove_County,_Kansas"
790,Macon,Illinois,"$26,232","$46,559","$59,733","110,262","45,142","https://en.wikipedia.org/wiki/Macon_County,_Illinois"
791,Barber,Kansas,"$26,229","$45,920","$56,048","4,898","2,187","https://en.wikipedia.org/wiki/Barber_County,_Kansas"
792,Linn,Kansas,"$26,224","$45,519","$52,761","9,580","4,234","https://en.wikipedia.org/wiki/Linn_County,_Kansas"
793,Clark,Nevada,"$26,217","$52,873","$60,666","1,976,925","710,058","https://en.wikipedia.org/wiki/Clark_County,_Nevada"
794,Pratt,Kansas,"$26,209","$46,035","$60,000","9,730","4,074","https://en.wikipedia.org/wiki/Pratt_County,_Kansas"
795,Rutland,Vermont,"$26,205","$49,271","$61,516","61,270","25,754","https://en.wikipedia.org/wiki/Rutland_County,_Vermont"
796,Greene,Iowa,"$26,205","$45,865","$57,150","9,255","3,969","https://en.wikipedia.org/wiki/Greene_County,_Iowa"
797,Charles City County,Virginia,"$26,198","$48,428","$58,893","7,205","2,850","https://en.wikipedia.org/wiki/Charles_City_County,_Virginia"
798,Leon,Florida,"$26,196","$46,369","$68,516","278,624","110,377","https://en.wikipedia.org/wiki/Leon_County,_Florida"
799,Hyde,South Dakota,"$26,195","$47,813","$67,292","1,387",549,"https://en.wikipedia.org/wiki/Hyde_County,_South_Dakota"
800,Lincoln,Nebraska,"$26,188","$48,158","$62,464","36,128","15,067","https://en.wikipedia.org/wiki/Lincoln_County,_Nebraska"
801,Worth,Iowa,"$26,187","$50,476","$60,159","7,562","3,197","https://en.wikipedia.org/wiki/Worth_County,_Iowa"
802,Guadalupe,Texas,"$26,184","$61,958","$71,325","135,940","46,409","https://en.wikipedia.org/wiki/Guadalupe_County,_Texas"
803,Harrison,Iowa,"$26,184","$54,583","$67,468","14,729","5,996","https://en.wikipedia.org/wiki/Harrison_County,_Iowa"
804,Potter,South Dakota,"$26,180","$44,556","$53,750","2,323","1,051","https://en.wikipedia.org/wiki/Potter_County,_South_Dakota"
805,Cole,Missouri,"$26,160","$53,931","$66,712","76,228","29,302","https://en.wikipedia.org/wiki/Cole_County,_Missouri"
806,Buncombe,North Carolina,"$26,159","$44,713","$56,616","241,801","100,838","https://en.wikipedia.org/wiki/Buncombe_County,_North_Carolina"
807,Duval,Florida,"$26,143","$48,323","$59,238","872,598","330,897","https://en.wikipedia.org/wiki/Duval_County,_Florida"
808,Hancock,Ohio,"$26,139","$49,589","$64,032","75,239","30,610","https://en.wikipedia.org/wiki/Hancock_County,_Ohio"
809,Ransom,North Dakota,"$26,137","$49,788","$66,076","5,472","2,283","https://en.wikipedia.org/wiki/Ransom_County,_North_Dakota"
810,Erie,Ohio,"$26,135","$46,498","$60,856","76,634","31,972","https://en.wikipedia.org/wiki/Erie_County,_Ohio"
811,Ohio County,West Virginia,"$26,135","$41,025","$57,865","44,156","18,553","https://en.wikipedia.org/wiki/Ohio_County,_West_Virginia"
812,Sheboygan,Wisconsin,"$26,126","$52,920","$65,968","115,235","46,312","https://en.wikipedia.org/wiki/Sheboygan_County,_Wisconsin"
813,Dawson,Montana,"$26,126","$50,405","$63,551","9,132","3,885","https://en.wikipedia.org/wiki/Dawson_County,_Montana"
814,Golden Valley,North Dakota,"$26,113","$36,100","$64,821","1,698",754,"https://en.wikipedia.org/wiki/Golden_Valley_County,_North_Dakota"
815,Hutchinson,South Dakota,"$26,110","$42,451","$59,403","7,239","2,937","https://en.wikipedia.org/wiki/Hutchinson_County,_South_Dakota"
816,Beaver,Oklahoma,"$26,109","$51,422","$60,483","5,605","2,108","https://en.wikipedia.org/wiki/Beaver_County,_Oklahoma"
817,Salt Lake,Utah,"$26,103","$60,555","$70,215","1,048,314","344,089","https://en.wikipedia.org/wiki/Salt_Lake_County,_Utah"
818,Franklin,Iowa,"$26,102","$48,355","$54,625","10,623","4,358","https://en.wikipedia.org/wiki/Franklin_County,_Iowa"
819,Franklin,Nebraska,"$26,095","$43,011","$56,875","3,181","1,398","https://en.wikipedia.org/wiki/Franklin_County,_Nebraska"
820,Stearns,Minnesota,"$26,065","$54,551","$69,196","151,053","56,737","https://en.wikipedia.org/wiki/Stearns_County,_Minnesota"
821,Renville,Minnesota,"$26,062","$50,802","$58,599","15,499","6,400","https://en.wikipedia.org/wiki/Renville_County,_Minnesota"
822,Jackson,Missouri,"$26,062","$47,015","$60,580","675,641","271,545","https://en.wikipedia.org/wiki/Jackson_County,_Missouri"
823,Winchester City,Virginia,"$26,060","$44,200","$56,967","26,587","10,393","https://en.wikipedia.org/wiki/Winchester,_Virginia"
824,Nelson,Virginia,"$26,059","$48,789","$59,191","14,940","6,404","https://en.wikipedia.org/wiki/Nelson_County,_Virginia"
825,Shawnee,Kansas,"$26,057","$48,451","$63,230","178,378","72,584","https://en.wikipedia.org/wiki/Shawnee_County,_Kansas"
826,Perry,Pennsylvania,"$26,048","$57,375","$66,005","45,808","18,173","https://en.wikipedia.org/wiki/Perry_County,_Pennsylvania"
827,Koochiching,Minnesota,"$26,045","$41,108","$56,065","13,251","6,134","https://en.wikipedia.org/wiki/Koochiching_County,_Minnesota"
828,Davis,Utah,"$26,035","$69,707","$76,888","311,886","95,238","https://en.wikipedia.org/wiki/Davis_County,_Utah"
829,Lorain,Ohio,"$26,030","$51,816","$63,212","301,720","116,705","https://en.wikipedia.org/wiki/Lorain_County,_Ohio"
830,Lyon,Minnesota,"$26,028","$49,594","$70,016","25,703","10,083","https://en.wikipedia.org/wiki/Lyon_County,_Minnesota"
831,Hand,South Dakota,"$26,027","$47,679","$59,671","3,433","1,429","https://en.wikipedia.org/wiki/Hand_County,_South_Dakota"
832,Woods,Oklahoma,"$26,022","$51,619","$65,064","8,849","3,439","https://en.wikipedia.org/wiki/Woods_County,_Oklahoma"
833,Big Stone,Minnesota,"$26,019","$46,313","$56,012","5,209","2,347","https://en.wikipedia.org/wiki/Big_Stone_County,_Minnesota"
834,Chippewa,Minnesota,"$25,993","$49,434","$64,608","12,272","5,093","https://en.wikipedia.org/wiki/Chippewa_County,_Minnesota"
835,Niagara,New York,"$25,991","$47,955","$63,523","215,465","88,376","https://en.wikipedia.org/wiki/Niagara_County,_New_York"
836,Sauk,Wisconsin,"$25,988","$52,140","$65,561","62,353","25,206","https://en.wikipedia.org/wiki/Sauk_County,_Wisconsin"
837,Story,Iowa,"$25,986","$50,516","$76,860","90,750","35,196","https://en.wikipedia.org/wiki/Story_County,_Iowa"
838,Marshall,Illinois,"$25,975","$51,504","$62,827","12,454","5,021","https://en.wikipedia.org/wiki/Marshall_County,_Illinois"
839,Clinton,Iowa,"$25,966","$49,559","$63,452","48,896","20,008","https://en.wikipedia.org/wiki/Clinton_County,_Iowa"
840,Saline,Arkansas,"$25,962","$55,348","$66,936","109,844","41,287","https://en.wikipedia.org/wiki/Saline_County,_Arkansas"
841,Wood,Wisconsin,"$25,961","$47,685","$60,258","74,469","32,037","https://en.wikipedia.org/wiki/Wood_County,_Wisconsin"
842,McCracken,Kentucky,"$25,957","$44,898","$57,709","65,610","27,037","https://en.wikipedia.org/wiki/McCracken_County,_Kentucky"
843,Waupaca,Wisconsin,"$25,956","$50,822","$61,581","52,300","21,388","https://en.wikipedia.org/wiki/Waupaca_County,_Wisconsin"
844,Carbon,Wyoming,"$25,947","$55,347","$65,402","15,809","6,077","https://en.wikipedia.org/wiki/Carbon_County,_Wyoming"
845,St. Louis County,Minnesota,"$25,946","$46,517","$63,168","200,327","85,238","https://en.wikipedia.org/wiki/St._Louis_County,_Minnesota"
846,Tuolumne,California,"$25,943","$48,426","$59,152","54,728","22,025","https://en.wikipedia.org/wiki/Tuolumne_County,_California"
847,Oconto,Wisconsin,"$25,941","$51,615","$62,599","37,531","15,701","https://en.wikipedia.org/wiki/Oconto_County,_Wisconsin"
848,Monroe,Michigan,"$25,939","$53,972","$65,363","151,408","58,702","https://en.wikipedia.org/wiki/Monroe_County,_Michigan"
849,Jackson,Colorado,"$25,936","$43,606","$60,714","1,371",648,"https://en.wikipedia.org/wiki/Jackson_County,_Colorado"
850,Morgan,Georgia,"$25,933","$47,729","$55,030","17,870","6,513","https://en.wikipedia.org/wiki/Morgan_County,_Georgia"
851,Gwinnett,Georgia,"$25,932","$60,445","$66,432","825,911","266,952","https://en.wikipedia.org/wiki/Gwinnett_County,_Georgia"
852,Garfield,Montana,"$25,921","$45,096","$59,423","1,145",465,"https://en.wikipedia.org/wiki/Garfield_County,_Montana"
853,Walworth,South Dakota,"$25,915","$41,826","$59,449","5,477","2,342","https://en.wikipedia.org/wiki/Walworth_County,_South_Dakota"
854,San Benito,California,"$25,914","$66,237","$71,425","56,115","16,995","https://en.wikipedia.org/wiki/San_Benito_County,_California"
855,Henderson,Illinois,"$25,902","$49,389","$60,066","7,186","3,202","https://en.wikipedia.org/wiki/Henderson_County,_Illinois"
856,Wheeler,Nebraska,"$25,898","$38,807","$53,015",869,379,"https://en.wikipedia.org/wiki/Wheeler_County,_Nebraska"
857,Chelan,Washington,"$25,893","$51,354","$61,230","73,047","27,220","https://en.wikipedia.org/wiki/Chelan_County,_Washington"
858,Kent,Michigan,"$25,889","$51,667","$63,176","609,544","229,373","https://en.wikipedia.org/wiki/Kent_County,_Michigan"
859,Boone,Illinois,"$25,888","$60,893","$67,049","54,068","17,938","https://en.wikipedia.org/wiki/Boone_County,_Illinois"
860,Austin,Texas,"$25,884","$53,265","$64,760","28,573","10,615","https://en.wikipedia.org/wiki/Austin_County,_Texas"
861,Ida,Iowa,"$25,869","$43,449","$58,470","7,099","3,182","https://en.wikipedia.org/wiki/Ida_County,_Iowa"
862,Clay,Texas,"$25,867","$53,776","$66,788","10,651","4,216","https://en.wikipedia.org/wiki/Clay_County,_Texas"
863,Clallam,Washington,"$25,865","$46,033","$59,169","71,731","30,814","https://en.wikipedia.org/wiki/Clallam_County,_Washington"
864,Otoe,Nebraska,"$25,855","$50,881","$63,841","15,727","6,438","https://en.wikipedia.org/wiki/Otoe_County,_Nebraska"
865,Currituck,North Carolina,"$25,854","$57,159","$66,626","23,880","9,121","https://en.wikipedia.org/wiki/Currituck_County,_North_Carolina"
866,Pottawattamie,Iowa,"$25,847","$51,304","$63,669","92,962","36,460","https://en.wikipedia.org/wiki/Pottawattamie_County,_Iowa"
867,Monongalia,West Virginia,"$25,846","$44,173","$68,101","98,483","36,449","https://en.wikipedia.org/wiki/Monongalia_County,_West_Virginia"
868,Walton,Florida,"$25,845","$43,640","$56,484","56,590","22,639","https://en.wikipedia.org/wiki/Walton_County,_Florida"
869,Lincoln,Wyoming,"$25,834","$64,205","$71,523","18,100","6,245","https://en.wikipedia.org/wiki/Lincoln_County,_Wyoming"
870,Brown,Indiana,"$25,833","$51,568","$59,221","15,128","5,889","https://en.wikipedia.org/wiki/Brown_County,_Indiana"
871,Wright,Iowa,"$25,827","$45,205","$59,070","13,092","5,367","https://en.wikipedia.org/wiki/Wright_County,_Iowa"
872,Manitowoc,Wisconsin,"$25,825","$48,881","$63,889","81,098","34,067","https://en.wikipedia.org/wiki/Manitowoc_County,_Wisconsin"
873,Sanborn,South Dakota,"$25,823","$48,384","$62,583","2,348","1,051","https://en.wikipedia.org/wiki/Sanborn_County,_South_Dakota"
874,Hampden,Massachusetts,"$25,817","$49,094","$61,474","465,144","177,990","https://en.wikipedia.org/wiki/Hampden_County,_Massachusetts"
875,Lincoln,Washington,"$25,816","$47,195","$60,478","10,481","4,457","https://en.wikipedia.org/wiki/Lincoln_County,_Washington"
876,Hancock,Iowa,"$25,814","$50,105","$60,921","11,243","4,648","https://en.wikipedia.org/wiki/Hancock_County,_Iowa"
877,Banner,Nebraska,"$25,814","$36,875","$51,750",816,330,"https://en.wikipedia.org/wiki/Banner_County,_Nebraska"
878,Barton,Kansas,"$25,800","$44,981","$56,250","27,602","11,491","https://en.wikipedia.org/wiki/Barton_County,_Kansas"
879,Polk,Minnesota,"$25,790","$50,695","$64,911","31,522","12,663","https://en.wikipedia.org/wiki/Polk_County,_Minnesota"
880,Flathead,Montana,"$25,790","$46,581","$56,284","91,536","36,901","https://en.wikipedia.org/wiki/Flathead_County,_Montana"
881,Sibley,Minnesota,"$25,789","$54,017","$64,750","15,146","6,090","https://en.wikipedia.org/wiki/Sibley_County,_Minnesota"
882,Valley,Idaho,"$25,785","$50,473","$60,100","9,698","3,519","https://en.wikipedia.org/wiki/Valley_County,_Idaho"
883,Morgan,Indiana,"$25,781","$55,354","$63,148","69,217","25,621","https://en.wikipedia.org/wiki/Morgan_County,_Indiana"
884,Wasatch,Utah,"$25,777","$65,050","$70,303","24,542","7,602","https://en.wikipedia.org/wiki/Wasatch_County,_Utah"
885,Edmunds,South Dakota,"$25,775","$49,831","$65,179","4,051","1,589","https://en.wikipedia.org/wiki/Edmunds_County,_South_Dakota"
886,Kingfisher,Oklahoma,"$25,773","$54,666","$61,528","15,069","5,733","https://en.wikipedia.org/wiki/Kingfisher_County,_Oklahoma"
887,Kennebec,Maine,"$25,770","$46,808","$59,915","121,757","51,719","https://en.wikipedia.org/wiki/Kennebec_County,_Maine"
888,Calhoun,Iowa,"$25,766","$44,484","$55,234","9,952","4,356","https://en.wikipedia.org/wiki/Calhoun_County,_Iowa"
889,Missoula,Montana,"$25,764","$46,117","$62,988","110,243","45,523","https://en.wikipedia.org/wiki/Missoula_County,_Montana"
890,Richland,South Carolina,"$25,763","$48,359","$62,935","389,708","143,874","https://en.wikipedia.org/wiki/Richland_County,_South_Carolina"
891,Custer,Colorado,"$25,761","$32,427","$50,000","4,245","2,048","https://en.wikipedia.org/wiki/Custer_County,_Colorado"
892,Kalamazoo,Michigan,"$25,757","$45,775","$62,159","252,763","100,072","https://en.wikipedia.org/wiki/Kalamazoo_County,_Michigan"
893,Haakon,South Dakota,"$25,754","$47,198","$64,120","1,944",807,"https://en.wikipedia.org/wiki/Haakon_County,_South_Dakota"
894,Polk,Wisconsin,"$25,751","$48,538","$58,842","43,905","18,266","https://en.wikipedia.org/wiki/Polk_County,_Wisconsin"
895,Perkins,South Dakota,"$25,751","$38,362","$56,429","2,943","1,364","https://en.wikipedia.org/wiki/Perkins_County,_South_Dakota"
896,Swift,Minnesota,"$25,750","$48,026","$64,250","9,678","4,315","https://en.wikipedia.org/wiki/Swift_County,_Minnesota"
897,Plaquemines,Louisiana,"$25,748","$55,138","$66,800","23,385","8,615","https://en.wikipedia.org/wiki/Plaquemines_Parish,_Louisiana"
898,Franklin,Pennsylvania,"$25,741","$52,637","$63,117","150,594","58,273","https://en.wikipedia.org/wiki/Franklin_County,_Pennsylvania"
899,Cedar,Nebraska,"$25,738","$48,038","$58,542","8,790","3,529","https://en.wikipedia.org/wiki/Cedar_County,_Nebraska"
900,Waseca,Minnesota,"$25,723","$53,657","$66,173","19,046","7,328","https://en.wikipedia.org/wiki/Waseca_County,_Minnesota"
901,Caroline,Virginia,"$25,718","$57,218","$64,258","28,757","10,680","https://en.wikipedia.org/wiki/Caroline_County,_Virginia"
902,Champaign,Illinois,"$25,713","$45,808","$69,554","202,428","79,137","https://en.wikipedia.org/wiki/Champaign_County,_Illinois"
903,LaSalle,Illinois,"$25,709","$52,640","$64,693","113,295","44,257","https://en.wikipedia.org/wiki/LaSalle_County,_Illinois"
904,Greene,New York,"$25,700","$49,655","$60,571","48,928","18,365","https://en.wikipedia.org/wiki/Greene_County,_New_York"
905,Harding,New Mexico,"$25,686","$34,063","$49,167",687,261,"https://en.wikipedia.org/wiki/Harding_County,_New_Mexico"
906,Valley,Montana,"$25,685","$47,181","$58,668","7,465","3,248","https://en.wikipedia.org/wiki/Valley_County,_Montana"
907,Clatsop,Oregon,"$25,680","$44,683","$54,849","37,157","15,749","https://en.wikipedia.org/wiki/Clatsop_County,_Oregon"
908,Henderson,North Carolina,"$25,670","$44,815","$57,062","107,583","45,246","https://en.wikipedia.org/wiki/Henderson_County,_North_Carolina"
909,Freeborn,Minnesota,"$25,668","$44,683","$58,220","31,129","13,230","https://en.wikipedia.org/wiki/Freeborn_County,_Minnesota"
910,Meeker,Minnesota,"$25,665","$53,904","$63,881","23,197","9,288","https://en.wikipedia.org/wiki/Meeker_County,_Minnesota"
911,Wise,Texas,"$25,663","$56,005","$63,661","59,894","20,487","https://en.wikipedia.org/wiki/Wise_County,_Texas"
912,Ellis,Texas,"$25,662","$61,952","$69,685","152,020","51,016","https://en.wikipedia.org/wiki/Ellis_County,_Texas"
913,Spokane,Washington,"$25,661","$49,233","$62,589","473,832","187,572","https://en.wikipedia.org/wiki/Spokane_County,_Washington"
914,Roseau,Minnesota,"$25,650","$50,759","$59,226","15,587","6,402","https://en.wikipedia.org/wiki/Roseau_County,_Minnesota"
915,Redwood,Minnesota,"$25,649","$47,447","$60,685","15,942","6,507","https://en.wikipedia.org/wiki/Redwood_County,_Minnesota"
916,Rockbridge,Virginia,"$25,638","$48,313","$59,165","22,345","9,234","https://en.wikipedia.org/wiki/Rockbridge_County,_Virginia"
917,Jessamine,Kentucky,"$25,637","$49,024","$58,733","49,112","18,012","https://en.wikipedia.org/wiki/Jessamine_County,_Kentucky"
918,Watonwan,Minnesota,"$25,635","$49,698","$61,064","11,173","4,445","https://en.wikipedia.org/wiki/Watonwan_County,_Minnesota"
919,Smith,Texas,"$25,626","$47,432","$60,259","212,227","78,459","https://en.wikipedia.org/wiki/Smith_County,_Texas"
920,Jefferson,Wisconsin,"$25,625","$53,454","$67,058","83,985","32,137","https://en.wikipedia.org/wiki/Jefferson_County,_Wisconsin"
921,Camden,North Carolina,"$25,620","$56,607","$70,025","10,037","3,580","https://en.wikipedia.org/wiki/Camden_County,_North_Carolina"
922,Logan,Oklahoma,"$25,620","$53,591","$66,917","42,871","14,927","https://en.wikipedia.org/wiki/Logan_County,_Oklahoma"
923,Sedgwick,Kansas,"$25,603","$49,865","$63,042","500,768","192,651","https://en.wikipedia.org/wiki/Sedgwick_County,_Kansas"
924,Newton,Indiana,"$25,594","$50,262","$57,870","14,151","5,374","https://en.wikipedia.org/wiki/Newton_County,_Indiana"
925,Lackawanna,Pennsylvania,"$25,594","$46,044","$59,573","214,275","85,769","https://en.wikipedia.org/wiki/Lackawanna_County,_Pennsylvania"
926,Boone,Nebraska,"$25,590","$45,246","$59,278","5,441","2,242","https://en.wikipedia.org/wiki/Boone_County,_Nebraska"
927,Dubois,Indiana,"$25,589","$54,780","$66,988","42,103","15,890","https://en.wikipedia.org/wiki/Dubois_County,_Indiana"
928,Codington,South Dakota,"$25,582","$47,214","$63,037","27,439","11,566","https://en.wikipedia.org/wiki/Codington_County,_South_Dakota"
929,Adams,Nebraska,"$25,571","$49,440","$65,286","31,367","12,578","https://en.wikipedia.org/wiki/Adams_County,_Nebraska"
930,Adair,Iowa,"$25,564","$47,892","$60,232","7,588","3,295","https://en.wikipedia.org/wiki/Adair_County,_Iowa"
931,Hardin,Texas,"$25,559","$53,013","$64,383","54,945","20,633","https://en.wikipedia.org/wiki/Hardin_County,_Texas"
932,Pocahontas,Iowa,"$25,556","$44,073","$56,607","7,243","3,227","https://en.wikipedia.org/wiki/Pocahontas_County,_Iowa"
933,Lincoln,North Carolina,"$25,550","$48,940","$60,059","78,761","29,994","https://en.wikipedia.org/wiki/Lincoln_County,_North_Carolina"
934,Shelby,Tennessee,"$25,549","$46,250","$57,213","932,919","343,517","https://en.wikipedia.org/wiki/Shelby_County,_Tennessee"
935,Centre,Pennsylvania,"$25,545","$50,336","$70,654","154,460","57,197","https://en.wikipedia.org/wiki/Centre_County,_Pennsylvania"
936,Gray,Kansas,"$25,537","$57,808","$63,875","6,012","2,066","https://en.wikipedia.org/wiki/Gray_County,_Kansas"
937,Republic,Kansas,"$25,531","$39,572","$52,944","4,919","2,274","https://en.wikipedia.org/wiki/Republic_County,_Kansas"
938,Alpine,California,"$25,527","$58,636","$76,645","1,165",394,"https://en.wikipedia.org/wiki/Alpine_County,_California"
939,Trigg,Kentucky,"$25,527","$45,629","$53,893","14,289","5,935","https://en.wikipedia.org/wiki/Trigg_County,_Kentucky"
940,Liberty,Montana,"$25,522","$44,493","$58,438","2,357",847,"https://en.wikipedia.org/wiki/Liberty_County,_Montana"
941,Augusta,Virginia,"$25,519","$52,027","$60,614","73,726","27,999","https://en.wikipedia.org/wiki/Augusta_County,_Virginia"
942,Uinta,Wyoming,"$25,513","$58,515","$73,060","21,040","7,290","https://en.wikipedia.org/wiki/Uinta_County,_Wyoming"
943,Monroe,Pennsylvania,"$25,494","$57,408","$65,433","168,947","58,875","https://en.wikipedia.org/wiki/Monroe_County,_Pennsylvania"
944,Isanti,Minnesota,"$25,482","$57,353","$68,053","38,078","13,860","https://en.wikipedia.org/wiki/Isanti_County,_Minnesota"
945,Putnam,Ohio,"$25,481","$61,192","$72,075","34,339","13,022","https://en.wikipedia.org/wiki/Putnam_County,_Ohio"
946,Marion,Iowa,"$25,477","$54,723","$69,241","33,318","12,691","https://en.wikipedia.org/wiki/Marion_County,_Iowa"
947,Weld,Colorado,"$25,468","$57,180","$66,840","258,780","90,465","https://en.wikipedia.org/wiki/Weld_County,_Colorado"
948,Jersey,Illinois,"$25,467","$53,954","$63,789","22,850","8,752","https://en.wikipedia.org/wiki/Jersey_County,_Illinois"
949,Fillmore,Nebraska,"$25,460","$48,464","$60,897","5,818","2,444","https://en.wikipedia.org/wiki/Fillmore_County,_Nebraska"
950,Becker,Minnesota,"$25,455","$50,214","$59,844","32,800","13,476","https://en.wikipedia.org/wiki/Becker_County,_Minnesota"
951,Lincoln,New Mexico,"$25,449","$43,014","$49,213","20,359","8,685","https://en.wikipedia.org/wiki/Lincoln_County,_New_Mexico"
952,Ford,Illinois,"$25,448","$48,866","$60,799","13,991","5,651","https://en.wikipedia.org/wiki/Ford_County,_Illinois"
953,Cass,Iowa,"$25,448","$43,481","$52,403","13,793","6,081","https://en.wikipedia.org/wiki/Cass_County,_Iowa"
954,Ohio County,Indiana,"$25,443","$50,377","$59,539","6,075","2,422","https://en.wikipedia.org/wiki/Ohio_County,_Indiana"
955,Shackelford,Texas,"$25,436","$47,277","$56,875","3,362","1,445","https://en.wikipedia.org/wiki/Shackelford_County,_Texas"
956,Carroll,Iowa,"$25,430","$48,361","$64,495","20,732","8,626","https://en.wikipedia.org/wiki/Carroll_County,_Iowa"
957,Wallace,Kansas,"$25,429","$47,454","$59,038","1,568",611,"https://en.wikipedia.org/wiki/Wallace_County,_Kansas"
958,McIntosh,North Dakota,"$25,427","$36,066","$50,887","2,791","1,308","https://en.wikipedia.org/wiki/McIntosh_County,_North_Dakota"
959,Pawnee,Nebraska,"$25,426","$37,321","$49,191","2,759","1,314","https://en.wikipedia.org/wiki/Pawnee_County,_Nebraska"
960,Lee,Illinois,"$25,409","$50,060","$62,194","35,535","13,504","https://en.wikipedia.org/wiki/Lee_County,_Illinois"
961,Turner,South Dakota,"$25,406","$51,925","$62,026","8,344","3,461","https://en.wikipedia.org/wiki/Turner_County,_South_Dakota"
962,Genesee,New York,"$25,403","$49,922","$62,864","59,872","23,884","https://en.wikipedia.org/wiki/Genesee_County,_New_York"
963,Clark,Kansas,"$25,385","$41,129","$52,083","2,188",932,"https://en.wikipedia.org/wiki/Clark_County,_Kansas"
964,Blue Earth,Minnesota,"$25,380","$49,935","$68,864","64,504","24,476","https://en.wikipedia.org/wiki/Blue_Earth_County,_Minnesota"
965,Wicomico,Maryland,"$25,378","$51,092","$59,379","99,683","36,405","https://en.wikipedia.org/wiki/Wicomico_County,_Maryland"
966,Bayfield,Wisconsin,"$25,377","$44,944","$55,654","15,071","6,964","https://en.wikipedia.org/wiki/Bayfield_County,_Wisconsin"
967,Meade,South Dakota,"$25,375","$49,324","$58,193","25,914","10,083","https://en.wikipedia.org/wiki/Meade_County,_South_Dakota"
968,White,Illinois,"$25,375","$42,914","$56,110","14,630","6,240","https://en.wikipedia.org/wiki/White_County,_Illinois"
969,Ottawa,Michigan,"$25,371","$56,453","$67,166","267,017","94,666","https://en.wikipedia.org/wiki/Ottawa_County,_Michigan"
970,Steuben,New York,"$25,371","$47,476","$56,903","98,951","41,503","https://en.wikipedia.org/wiki/Steuben_County,_New_York"
971,Rice,Minnesota,"$25,370","$59,915","$72,133","64,585","22,299","https://en.wikipedia.org/wiki/Rice_County,_Minnesota"
972,Miami,Ohio,"$25,369","$52,040","$61,644","102,867","41,239","https://en.wikipedia.org/wiki/Miami_County,_Ohio"
973,Decatur,Tennessee,"$25,368","$36,258","$46,973","11,695","5,066","https://en.wikipedia.org/wiki/Decatur_County,_Tennessee"
974,Bandera,Texas,"$25,364","$49,215","$63,387","20,533","8,405","https://en.wikipedia.org/wiki/Bandera_County,_Texas"
975,Washington County,Tennessee,"$25,355","$42,075","$52,949","123,891","51,771","https://en.wikipedia.org/wiki/Washington_County,_Tennessee"
976,McPherson,Nebraska,"$25,339","$54,926","$57,981",382,169,"https://en.wikipedia.org/wiki/McPherson_County,_Nebraska"
977,Portage,Ohio,"$25,332","$52,697","$66,446","163,387","60,992","https://en.wikipedia.org/wiki/Portage_County,_Ohio"
978,Chemung,New York,"$25,329","$48,804","$60,715","88,876","35,622","https://en.wikipedia.org/wiki/Chemung_County,_New_York"
979,Logan,Kansas,"$25,328","$41,765","$59,412","2,775","1,282","https://en.wikipedia.org/wiki/Logan_County,_Kansas"
980,Wayne,New York,"$25,327","$52,601","$62,677","93,224","36,399","https://en.wikipedia.org/wiki/Wayne_County,_New_York"
981,Auglaize,Ohio,"$25,323","$52,239","$62,940","45,906","18,241","https://en.wikipedia.org/wiki/Auglaize_County,_Ohio"
982,Harlan,Nebraska,"$25,322","$45,920","$55,400","3,445","1,573","https://en.wikipedia.org/wiki/Harlan_County,_Nebraska"
983,Gilliam,Oregon,"$25,320","$44,743","$56,667","1,915",883,"https://en.wikipedia.org/wiki/Gilliam_County,_Oregon"
984,Poweshiek,Iowa,"$25,318","$50,349","$66,827","18,804","7,488","https://en.wikipedia.org/wiki/Poweshiek_County,_Iowa"
